uf,ano,fecp,fecp_bruta,deducao_fundeb,outras_deducoes,conta,formula,fonte
AL,2024,593161123.02,593191468.91,118632224.96,30345.89,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
AL,2025,634660549.44,634677859.0,126932110.53,17309.56,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
AM,2024,77740611.31,77740611.31,15548013.62,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
AM,2025,62084156.09,62084156.09,12416680.77,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
BA,2024,533487768.26,533487811.28,106697553.65,43.02,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
BA,2025,551042375.59,551055735.64,110208475.17,13360.05,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
CE,2024,293841311.08000004,294198692.61,58768261.97,357381.53,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
CE,2025,242123985.04,242717625.2,48424797.19,593640.16,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
DF,2024,99663888.56,99663888.56,19698569.5,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
DF,2025,102870659.48,102870659.48,20365425.4,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
ES,2024,93811445.92999999,93811827.41,18762365.61,381.48,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
ES,2025,105339710.86,105362495.84,21072499.14,22784.98,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
GO,2024,393571713.0,488842102.28,78849990.87,95270389.28,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
GO,2025,389393451.79999995,483804047.45,78028114.97,94410595.65,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
MA,2024,215918027.46,215918027.46,43182089.12,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
MA,2025,249176632.15,249176632.15,49835326.37,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
MG,2024,969232274.57,969232274.57,193846454.91,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
MG,2025,1104839360.82,1104839360.82,220967872.16,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
MS,2024,88052423.38,88055884.05,17610484.68,3460.67,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
MS,2025,81495397.0,81501844.37,16299079.4,6447.37,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
MT,2024,197927961.46,197933515.69,39585592.29,5554.23,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
MT,2025,181265387.76,181277704.78,36251950.39,12317.02,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PB,2024,127717822.17,127722366.2,25543564.43,4544.03,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PB,2025,137610618.72,137689182.88,27522123.74,78564.16,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PE,2024,407626543.25,407643079.79,81525308.65,16536.54,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PE,2025,445915007.21,445915226.64,89183001.44,219.43,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PI,2024,83083393.03,83083393.03,16616678.58,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PI,2025,88101586.81,88101586.81,17620317.16,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PR,2024,900943640.3100001,905843174.07,180188728.13,4899533.76,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
PR,2025,852205551.37,861230961.67,170441110.45,9025410.3,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RJ,2024,6661650863.71,6661853131.81,1332330172.23,202268.1,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RJ,2025,6802625329.04,6803255253.59,1360525065.65,629924.55,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RN,2024,45626466.86,45626466.86,0.0,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RN,2025,64805050.2,64805050.2,0.0,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RO,2024,38235228.92,38235652.14,0.0,423.22,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RO,2025,43775356.92,43775356.92,0.0,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RS,2024,431293336.08,431293336.08,86258655.94,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RS,2025,453427907.51,453427907.51,90528797.73,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
SE,2024,226912651.56,226912651.56,45382890.31,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
SE,2025,252579860.14,252579860.14,49559637.89,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
SP,2024,995903574.71,995903574.71,199180714.95,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
SP,2025,989671514.0,989671514.0,197934302.8,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
TO,2024,42200579.9,42200579.9,8440115.79,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
TO,2025,41831614.17,41937480.36,8366322.82,105866.19,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
