componente,base_descricao,base_rs_bi,aliquota,fundamento_aliquota,valor_rs_bi,periodo,formula,fonte,status
is_proxy_central,"arrecadação corrente de IPI em fumo, bebidas e veículos (linhas I.P.I-* do XLSX RFB) — proxy iso-carga do central, cota inferior do IS",,,"convenção iso-carga (alíquotas do IS aguardam lei ordinária, arts. 419, 421 e 422 da LC 214); ver revenue.is_estimado_bi",17.600147300803357,"2024-2025 (média da janela deflacionada, R$ bi 2024)",média janela deflacionada de (I.P.I-FUMO + I.P.I-BEBIDAS + I.P.I-AUTOMÓVEIS),"XLSX RFB 1994-2025; LC 214, art. 409 + Anexo XVII",PROXY_CENTRAL
minerais_ferro,"Valor Venda AMB da substância Ferro (bruta + beneficiada) — NCM 2601 — Anexo XVII (minérios de ferro); proxy do valor de referência da extração (LC 214/2025, art. 414, III, ""b"": base de cálculo é o valor de referência na extração de bem mineral; § 2º: metodologia do valor de referência por ato do Executivo, com base em cotações, índices ou preços vigentes na data do fato gerador; art. 412, V: fato gerador no momento da extração.); cota inferior da base (autoconsumo/transferências internas fora)",151.43477431539017,0.0025,"LC 214/2025, art. 422, § 2º (red. LC 227/2026): ""As alíquotas do Imposto Seletivo respeitarão o percentual máximo de 0,25% (vinte e cinco centésimos por cento), nas operações com bens minerais extraídos."" Teto legal avaliado como alíquota do cenário; a alíquota efetiva aguarda lei ordinária (art. 422, caput). LC 214/2025, Anexo XVII, ""Bens minerais"": NCM 2601; 2709.00.10; 2711.11.00; 2711.21.00.",0.37858693578847546,"2024-2025 (média da janela deflacionada, R$ bi 2024)","valor = [(VV_2024 + VV_2025×0,952229)/2] × 0,25%","ANM, Anuário Mineral Brasileiro (dados abertos), tabelas Producao_Bruta.csv e Producao_Beneficiada.csv, https://dadosabertos.anm.gov.br/AMB/ (cache data/raw/anm/, sha256 nos _meta.json) | LC 214/2025 + LC 227/2026 (textos em data/raw/normas/planalto/lcp214.htm e lcp227.htm)",QUANTIFICADO
minerais_carvao,"Valor Venda AMB da substância Carvão Mineral (bruta + beneficiada) — art. 409, § 1º, caput (carvão mineral por menção expressa; fora da lista NCM do Anexo XVII); proxy do valor de referência da extração (LC 214/2025, art. 414, III, ""b"": base de cálculo é o valor de referência na extração de bem mineral; § 2º: metodologia do valor de referência por ato do Executivo, com base em cotações, índices ou preços vigentes na data do fato gerador; art. 412, V: fato gerador no momento da extração.)",1.6009780465928531,0.0025,"LC 214/2025, art. 409, § 1º: ""consideram-se prejudiciais à saúde ou ao meio ambiente os bens classificados nos códigos da NCM/SH e o carvão mineral, e os serviços listados no Anexo XVII, referentes a: I - veículos; II - embarcações e aeronaves; III - produtos fumígenos; IV - bebidas alcoólicas; V - bebidas açucaradas; VI - bens minerais; VII - concursos de prognósticos e fantasy sport."" LC 214/2025, art. 422, § 2º (red. LC 227/2026): ""As alíquotas do Imposto Seletivo respeitarão o percentual máximo de 0,25% (vinte e cinco centésimos por cento), nas operações com bens minerais extraídos."" Teto legal avaliado como alíquota do cenário; a alíquota efetiva aguarda lei ordinária (art. 422, caput). LC 214/2025, Anexo XVII, ""Bens minerais"": NCM 2601; 2709.00.10; 2711.11.00; 2711.21.00.",0.004002445116482133,"2024-2025 (média da janela deflacionada, R$ bi 2024)","valor = [(VV_2024 + VV_2025×0,952229)/2] × 0,25%","ANM, Anuário Mineral Brasileiro (dados abertos), tabelas Producao_Bruta.csv e Producao_Beneficiada.csv, https://dadosabertos.anm.gov.br/AMB/ (cache data/raw/anm/, sha256 nos _meta.json) | LC 214/2025 + LC 227/2026 (textos em data/raw/normas/planalto/lcp214.htm e lcp227.htm)",QUANTIFICADO
petroleo_extracao,"produção nacional mensal ANP (m³) × preço de referência médio do mês (média nacional simples entre campos — CONVENÇÃO; Res. ANP 874/2022); proxy do valor de referência (LC 214/2025, art. 414, III, ""b"": base de cálculo é o valor de referência na extração de bem mineral; § 2º: metodologia do valor de referência por ato do Executivo, com base em cotações, índices ou preços vigentes na data do fato gerador; art. 412, V: fato gerador no momento da extração.)",502.1024412515629,0.0025,"LC 214/2025, art. 422, § 2º (red. LC 227/2026): ""As alíquotas do Imposto Seletivo respeitarão o percentual máximo de 0,25% (vinte e cinco centésimos por cento), nas operações com bens minerais extraídos."" Teto legal avaliado como alíquota do cenário; a alíquota efetiva aguarda lei ordinária (art. 422, caput). LC 214/2025, Anexo XVII, ""Bens minerais"": NCM 2601; 2709.00.10; 2711.11.00; 2711.21.00.",1.2552561031289071,"2024-2025 (média da janela deflacionada, R$ bi 2024)","valor = [(Σ_mes prod×preço)_2024 + (·)_2025×0,952229]/2 × 0,25%","ANP, produção mensal por UF (série 1997-corrente), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/arquivos/ppgn-el/ (cache data/raw/anp_producao/) | ANP, preços de referência do petróleo (Res. ANP 874/2022) e do gás natural (Res. ANP 875/2022), XLSX mensais por campo produtor (cache data/raw/anp_producao/precos_petroleo/ e precos_gas/) | LC 214/2025 + LC 227/2026 (textos em data/raw/normas/planalto/lcp214.htm e lcp227.htm)",QUANTIFICADO
gas_natural_extracao,"produção nacional mensal ANP (mil m³ → m³) × preço de referência médio do mês (média nacional simples entre campos — CONVENÇÃO; Res. ANP 875/2022). COTA SUPERIOR do componente: LC 214/2025, art. 423: ""Caso o gás natural seja destinado à utilização como insumo em processo industrial e como combustível para fins de transporte, a alíquota estabelecida na forma do § 2º do art. 422 desta Lei Complementar deverá ser fixada em zero."" — parcela insumo industrial/transporte não separável",74.97442876142685,0.0025,"LC 214/2025, art. 422, § 2º (red. LC 227/2026): ""As alíquotas do Imposto Seletivo respeitarão o percentual máximo de 0,25% (vinte e cinco centésimos por cento), nas operações com bens minerais extraídos."" Teto legal avaliado como alíquota do cenário; a alíquota efetiva aguarda lei ordinária (art. 422, caput). LC 214/2025, Anexo XVII, ""Bens minerais"": NCM 2601; 2709.00.10; 2711.11.00; 2711.21.00.",0.18743607190356712,"2024-2025 (média da janela deflacionada, R$ bi 2024)","valor = [(Σ_mes prod×preço)_2024 + (·)_2025×0,952229]/2 × 0,25%","ANP, produção mensal por UF (série 1997-corrente), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/arquivos/ppgn-el/ (cache data/raw/anp_producao/) | ANP, preços de referência do petróleo (Res. ANP 874/2022) e do gás natural (Res. ANP 875/2022), XLSX mensais por campo produtor (cache data/raw/anp_producao/precos_petroleo/ e precos_gas/) | LC 214/2025 + LC 227/2026 (textos em data/raw/normas/planalto/lcp214.htm e lcp227.htm)",QUANTIFICADO
bebidas_acucaradas,"NCM 2202.10.00 (Anexo XVII). A linha I.P.I-BEBIDAS do XLSX RFB é ÚNICA, sem abertura alcoólicas × não alcoólicas (medido 2026-07 na onda A1); a carga corrente de IPI sobre TODAS as bebidas já integra o proxy central; a folga específica exigiria alíquota do IS, que aguarda lei ordinária (art. 422, caput e § 5º, red. LC 227)",,,"sem alíquota citável: art. 422, caput (lei ordinária futura)",,,,XLSX RFB (linha I.P.I-BEBIDAS única); LC 214 Anexo XVII,LACUNA
apostas_prognosticos_fantasy,"base legal = receita própria da entidade (GGR: produto da arrecadação menos premiações pagas e destinações obrigatórias por lei), LC 214, art. 414, V, c/c art. 245 — não confundir GGR com volume apostado nem com arrecadação tributária. GGR agregado de apostas de quota fixa indisponível em rota aberta sem credencial: a única fonte oficial identificada exigia login gov.br já na diligência de coleta e nenhuma cópia aberta foi arquivada",,,"EXCLUSÃO JUSTIFICADA (dupla fundamentação): (i) sem alíquota/teto legal ancorável — diferentemente dos bens minerais extraídos, cujo teto de 0,25% o próprio art. 422, § 2º (red. LC 227) fixa, a LC 214 não fixa alíquota nem teto do IS para concursos de prognósticos (art. 422, caput: lei ordinária futura); a destinação regulatória sobre o GGR prevista na Lei 14.790/2023 é repartição do produto da exploração, não alíquota do IS, e só seria defensável como proxy de carga corrente com base GGR aberta; (ii) sem base aberta — fonte oficial do GGR atrás de login gov.br (diligência F13). Piso não calculável sem número inventado",,,,"LC 214, arts. 245 e 414, V; relatório SPA/MF do 1º semestre/2025 (apostas de quota fixa), URL oficial https://www.gov.br/fazenda/pt-br/composicao/orgaos/secretaria-de-premios-e-apostas/apresentacoes/copy_of_apresentacao_spamf_relatoriodo1osemestre_versao1.pdf — o GET exigia autenticação gov.br na diligência de 2026-07-12 (metadata/diligencias_fontes.csv, F13); nenhuma cópia aberta foi arquivada",LACUNA
embarcacoes_aeronaves,"NCM 8802 (exceto 8802.60.00) e embarcações com motor da posição 8903 (Anexo XVII); alíquotas em lei ordinária (art. 421); sem base corrente aberta comparável — parcela residual explicitamente NÃO quantificada, mantida no perímetro legal",,,sem alíquota citável: art. 421 (lei ordinária futura),,,,LC 214/2025 + LC 227/2026 (textos em data/raw/normas/planalto/lcp214.htm e lcp227.htm),NAO_QUANTIFICADO
lgn,líquido de gás natural (produção ANP disponível): NÃO listado no Anexo XVII (que traz apenas 2711.11.00 — GN liquefeito — e 2711.21.00 — GN gasoso) — excluído do cenário,,,"LC 214/2025, Anexo XVII, ""Bens minerais"": NCM 2601; 2709.00.10; 2711.11.00; 2711.21.00.",,,,"ANP, produção mensal por UF (série 1997-corrente), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/arquivos/ppgn-el/ (cache data/raw/anp_producao/) | LC 214/2025 + LC 227/2026 (textos em data/raw/normas/planalto/lcp214.htm e lcp227.htm)",FORA_DO_CAMPO
demais_substancias_amb,"água mineral e demais substâncias do AMB fora de {Ferro, Carvão Mineral}: fora do campo do IS (Anexo XVII limita os bens minerais a 2601, 2709.00.10, 2711.11.00 e 2711.21.00; carvão entra pelo art. 409, § 1º)",,,"LC 214/2025, art. 409, § 1º: ""consideram-se prejudiciais à saúde ou ao meio ambiente os bens classificados nos códigos da NCM/SH e o carvão mineral, e os serviços listados no Anexo XVII, referentes a: I - veículos; II - embarcações e aeronaves; III - produtos fumígenos; IV - bebidas alcoólicas; V - bebidas açucaradas; VI - bens minerais; VII - concursos de prognósticos e fantasy sport."" LC 214/2025, Anexo XVII, ""Bens minerais"": NCM 2601; 2709.00.10; 2711.11.00; 2711.21.00.",,,,"ANM, Anuário Mineral Brasileiro (dados abertos), tabelas Producao_Bruta.csv e Producao_Beneficiada.csv, https://dadosabertos.anm.gov.br/AMB/ (cache data/raw/anm/, sha256 nos _meta.json) | LC 214/2025 + LC 227/2026 (textos em data/raw/normas/planalto/lcp214.htm e lcp227.htm)",FORA_DO_CAMPO
total_adicional_quantificado,"Σ componentes QUANTIFICADO (ferro + carvão + petróleo + gás) — folga mensurável da cota inferior no teto do art. 422, § 2º",,,"LC 214/2025, art. 422, § 2º (red. LC 227/2026): ""As alíquotas do Imposto Seletivo respeitarão o percentual máximo de 0,25% (vinte e cinco centésimos por cento), nas operações com bens minerais extraídos."" Teto legal avaliado como alíquota do cenário; a alíquota efetiva aguarda lei ordinária (art. 422, caput). LC 214/2025, Anexo XVII, ""Bens minerais"": NCM 2601; 2709.00.10; 2711.11.00; 2711.21.00.",1.8252815559374318,"2024-2025 (média da janela deflacionada, R$ bi 2024)",Σ valor_rs_bi[status=QUANTIFICADO],este arquivo (linhas QUANTIFICADO),TOTAL
total_is_ampliado,IS ampliado = proxy central + total adicional quantificado,,,"proxy: convenção iso-carga; adicional: teto art. 422, § 2º",19.42542885674079,"2024-2025 (média da janela deflacionada, R$ bi 2024)",is_proxy_central + total_adicional_quantificado,este arquivo,TOTAL
efeito_tau_cbs_sistema,"queda de 1ª ordem de τ_CBS na grade (iso_carga, γ central, ψ=0): Δτ_CBS = −ΔIS/D_U = -0.045853 p.p. (D_U implícito = 3980.749 R$ bi, extraído do par central × sens_is_zero da grade CORRENTE — re-baseline declarado: processados em regeneração na revisão)",,,"aritmética da construção: τ_CBS linear no alvo (art. 353, § 1º)",-1.8252815559374318,"2024-2025 (média da janela deflacionada, R$ bi 2024)",delta_pp = −total_adicional_quantificado ÷ D_U × 100,aferir_nacional.csv (corrente) + MANIFEST_RUN.json,EFEITO
efeito_tau_cbs_ancora_legal,queda de 1ª ordem de τ_CBS na construção A (âncoras legais): Δτ = −ΔIS/B* = -0.032858 p.p. (B* = 5555.047 R$ bi — re-baseline declarado),,,aritmética da construção: τ_s = (R_s − deduções)/B*,-1.8252815559374318,"2024-2025 (média da janela deflacionada, R$ bi 2024)",delta_pp = −total_adicional_quantificado ÷ B* × 100,aferir_ancoras.csv (corrente),EFEITO
