etapa_oficial;fundamento;modulo_aferir;fonte;status;convencao;teste
CBS: equação de equilíbrio geral — Média I (CBS+IS+IPI residual, anos-base 2024-2025, % PIB) = Média II (Cofins+PIS+IOF-Seguros+IPI, 2012-2021, % PIB), única incógnita A_CBS;LC 214/2025, art. 353, §1º. Metodologia RFB homologada pelo TCU (Res. TCU 388/2026, art. 2º, I-II);aferir.rates.resolve_tri_esfera + aferir.pipeline.executa (Alvo_U = τ_U·D_U + σ·G_U);data/raw/normas/tcu/tcu_metodologia_cbs_aliquota_referencia_redutor.pdf, itens 14-21 (pp. 6-8);aproximado;mesma inversão receita-alvo ÷ base efetiva, resolvida em forma fechada sobre base aberta (TRU/POF) em vez de equações simultâneas MC+MS sobre ECF;tests/test_rates.py::test_iso_carga_desacopla
CBS: Média II — âncora 2012-2021 (% PIB) com dados RTN/STN e arrecadação RFB;LC 214/2025, arts. 350, I, e 353, §1º, II;aferir.inputs.uniao (ancora_uniao.csv — central líquida-RTN, bruta-RFB como sensibilidade declarada);metodologia TCU, itens 18-20 (p. 7). Fontes abertas idênticas às oficiais (RTN/STN e série RFB);replicado;n/d;tests/test_federal.py::test_ancora_uniao_golden
CBS: Média II — componente IOF-Seguros (arrecadação observada por modalidade);LC 214/2025, art. 350, I, 'c';aferir.inputs.uniao (razao_iof_seguros);metodologia TCU, item 19 (p. 7). Decomposição do IOF por modalidade não é pública (fronteira OD/ADM);aproximado;razão constante IOF-Seguros/IOF-total (R$ 5,4 bi da NT SERT jul/2024 ÷ IOF-total 2023) aplicada à janela 2012-2021, sensibilidade ±1/4 — lacuna de dado aberto documentada (item A8);tests/test_federal.py::test_r_uniao_consistencia
CBS: Média I — arrecadação estimada do IS como variável exógena;LC 214/2025, art. 353, caput e §1º, I;aferir.inputs.uniao (is_estimado) + aferir.revenue.alvo_uniao (dedução do alvo);metodologia TCU, itens 17 e 21 (pp. 6-8);aproximado;proxy iso-carga do IS: arrecadação corrente de IPI nos produtos do campo do IS (LC 214, art. 409 + Anexo XVII) = cota inferior do IS, logo τ_CBS cota superior nessa dimensão. IS=0 como sensibilidade;tests/test_federal.py::test_is_estimado_golden
CBS: Média I — arrecadação estimada do IPI Residual (ZFM) como variável exógena;LC 214/2025, art. 353, caput;aferir.revenue.alvo_uniao (dedução do alvo);metodologia TCU, itens 17 e 21 (pp. 6-8);aproximado;transcrição da estimativa oficial: R$ 2,6 bi (NT SERT jul/2024, p. 4), valor único sem série própria;tests/test_federal.py::test_is_ipi_residual_transcricao
CBS: Módulo 1 (Central) — apuração débitos−créditos via ECF (registros L300-A/P150/P200), Lucro Real + Presumido;LC 214/2025, art. 352, §3º, I (opção da RFB pelo dado administrativo de arrecadação);aferir.base (B_ord = C_fam + ISFLSF + FBCF_NC: TRU 2021 nível 68 escalada ao biênio, shares POF por UF);metodologia TCU, Ap. I (pp. 9-12) e itens 10-13 e 22-33;aproximado;ótica da demanda em lugar da ótica débito-crédito — equivalência das três óticas de um IVA conceitual reconhecida pelo próprio documento oficial (itens 23-24). Rota dos agregados públicos facultada pelo art. 352, §3º, II;tests/test_inputs_nucleo.py::test_tru_usos_totais_golden
CBS: Módulo 2 — redução proporcional da alíquota (reduções de 60% e 30%);LC 214/2025, regimes diferenciados com alíquota reduzida (Anexos da LC 214);aferir.gaps (matriz POF×LC 214 v5: 13.474 itens, m_i ∈ {0, 0.3, 0.4, 0.6, 0.7, 1.0});metodologia TCU, Ap. II (pp. 13-15);aproximado;enquadramento legal por item POF com dispositivo citado item a item (coluna art_lc_214_v3 da matriz) em vez de por operação NF-e;tests/test_pof.py::test_join_matriz_v5_cobre_99pct_da_despesa
CBS: Módulo 3 — alíquota zero;LC 214/2025, hipóteses de alíquota zero (ex.: cesta básica, Anexo I);aferir.gaps (matriz, itens com m_i = 0);metodologia TCU, Ap. III (pp. 16-17);aproximado;idem Módulo 2 — enquadramento por item POF (m_i=0) em vez de por operação;tests/test_pof.py::test_join_matriz_v5_cobre_99pct_da_despesa
CBS: Módulo 4 — isenção (exclusão de contribuintes/operações isentas antes do MC);LC 214/2025, hipóteses de isenção;aferir.gaps (matriz, m_i = 0 ou flag F conforme o dispositivo);metodologia TCU, Ap. IV (pp. 18-19);aproximado;isenções mapeadas pelo lado do consumo (item POF), sem o pré-processamento por contribuinte (ECF) do oficial;tests/test_pof.py::test_join_matriz_v5_cobre_99pct_da_despesa
CBS: Módulo 5 — suspensão (ajuste de créditos por regimes suspensivos);LC 214/2025, regimes de suspensão;n/d;metodologia TCU, Ap. V (pp. 20-21);fronteira_administrativa;n/d — suspensões deslocam créditos entre elos da cadeia (dado ECF/NF-e). Na ótica da demanda sobre o consumo final o efeito é neutro;n/d
CBS: Módulo 6 — combustíveis (monofasia ad rem, exclusão dos CNAEs de distribuição/varejo, volumes ANP, carga indireta via ECF/NF-e);LC 214/2025, regime específico de combustíveis (Reg. IBS, arts. 259-268);aferir.inputs.combustiveis (volumes ANP × ad rem CONFAZ) + aferir.revenue (expurgo do alvo) + aferir.base.itens_combustiveis (expurgo da base);metodologia TCU, Ap. VI (pp. 22-24);aproximado;expurgo simétrico alvo/base: receita ad rem medida por volumes ANP × alíquotas CONFAZ (LC 192/2022, Convênios ICMS 199/2022 e 15/2023) e PIS/Cofins-combustíveis deduzido do alvo federal por transcrição. A carga indireta por ECF/NF-e do oficial permanece na fronteira administrativa;tests/test_inputs_nucleo.py::test_combustiveis_uf
CBS: Módulo 7 — redutor das compras governamentais (iso-carga PIS/Cofins/IPI/IOF-Seguros 2024-2025 com NF-e/DI e ECF × TRU 2021 nível 68, atividades 8400/8591/8691);LC 214/2025, arts. 370 e 472-473, c/c Res. TCU 388/2026, art. 2º, I;aferir.govpurchases (G_s por DCA, naturezas 3.3.90.30/36/39, e σ̂ iso-carga via TRU) + aferir.rates (modos iso_carga/sem_redutor/redutor_total);metodologia TCU, Ap. VII (pp. 25-34). Mesma TRU 2021 nível 68 e mesmas atividades 8400/8591/8691 do oficial;aproximado;σ̂ = 8,234% = carga embutida média por produto (TRU, mix do CI das atividades 8400/8591/8691) — cota inferior do conceito operação-específico via NF-e/DI/ECF (fork F8). G municipal por amostra extrapolada com corredor S1/S2;tests/test_inputs_nucleo.py::test_tru_carga_embutida_gov_sanity
CBS: Módulo 8 — Simples Nacional (exclusão do MC via PGDAS-D/DASN e crédito B2B);LC 123/2006 c/c LC 214/2025, art. 350, §1º;aferir.revenue (receita do Simples permanece no numerador R) + matriz POF (consumo);metodologia TCU, Ap. VIII (pp. 35-36);aproximado;perímetro simétrico declarado: Simples fica em R e no consumo B, sem ajuste débito-crédito B2B (dado PGDAS administrativo);n/d
CBS: Módulo 9 — operações financeiras (EFD-Contribuições + ECF, créditos de meio de cadeia via produto TRU 64801);LC 214/2025, arts. 181-183 (regime específico de serviços financeiros);aferir.gaps (matriz: itens de serviços financeiros e seguros com flag B, m_i = 1,00);metodologia TCU, Ap. IX (pp. 37-39);aproximado;a alíquota setorial do regime específico depende de dado administrativo — m=1,00 sobre tarifas/prêmios como cota superior declarada (flag B da matriz);tests/test_pof.py::test_join_matriz_v5_cobre_99pct_da_despesa
CBS: Módulo 10 — pessoa física (DIRPF: livro-caixa, carnê-leão, produtor rural acima de R$ 3,6 mi);LC 214/2025, contribuintes pessoa física;aferir.gaps/aferir.base (ótica da demanda);metodologia TCU, Ap. X (pp. 40-41);aproximado;o consumo final de serviços prestados por PF já integra a despesa POF das famílias — sem módulo próprio pela ótica da renda (DIRPF é sigilosa);n/d
CBS: Módulo 11 — cashback (POF + CadÚnico, devolução de 100% da CBS no piso do art. 118 e 20% nas demais, ajuste nacional redutor da arrecadação);LC 214/2025, arts. 112-120 (art. 118, I-II);aferir.cashback (cb_base por esfera) + aferir.pipeline (itens do piso na base ad valorem);metodologia TCU, Ap. XI (pp. 42-43). Mesma dupla POF+CadÚnico e mesmo nível nacional do oficial;aproximado;elegibilidade CadÚnico aproximada pelos decis 1-3 da POF (f_low por UF) e uplift_piso_low = 1,0 (conservador). GLP fora da base ad valorem — a devolução do GLP ocorre no ad rem;tests/test_rates.py::test_cashback_assimetrico_por_esfera
CBS: Módulo 12 — regimes aduaneiros (suspensivos, via Siscomex);LC 214/2025, regimes aduaneiros especiais;n/d;metodologia TCU, Ap. XII (pp. 44-45);fronteira_administrativa;n/d — regimes suspensivos aduaneiros não alcançam o consumo final da ótica da demanda;n/d
CBS: Módulo 13 — importação em geral (DI, valor aduaneiro);LC 214/2025, incidência na importação;n/d (sem módulo próprio);metodologia TCU, Ap. XIII (pp. 46-48);aproximado;a oferta importada consumida já integra o consumo das famílias na TRU (ótica de usos). Para o IBS estadual vale o princípio do destino — a receita não pertence à UF portuária;n/d
CBS: Módulo 14 — créditos presumidos (ECF/EFD-IPI-ICMS/MDIC);LC 214/2025, hipóteses de crédito presumido;n/d (exceto ZFM — linha própria);metodologia TCU, Ap. XIV (pp. 49-50);fronteira_administrativa;n/d — exige apuração por contribuinte/operação (dado administrativo);n/d
CBS: Módulo 15 — Zona Franca de Manaus (exclusão de importação desonerada + créditos presumidos de 6%/2%);LC 214/2025, art. 450;aferir.pipeline (ZFM_AM = 0,13 — adendo de política do AM, encolhe com λ na trava);metodologia TCU, Ap. XV (pp. 51-52);aproximado;erosão de base zfm = 0,13 no π do AM (convenção herdada do v1, ancorada em gasto tributário aberto) em vez de créditos presumidos por operação via Siscomex/NF-e;tests/test_trava.py::test_lambda_zero_reproduz_central
CBS: Módulo 16 — atividades imobiliárias (tributa só operações efetivas: alienação, incorporação, locação com redução de 70% e aluguel imputado ausente);LC 214/2025, regime de bens imóveis (art. 261, parágrafo único, c/c arts. 251-260);aferir.gaps (matriz: aluguel efetivo m_i = 0,30, aluguel imputado flag F) + aferir.inputs.pof;metodologia TCU, Ap. XVI (pp. 53-68);aproximado;aluguel imputado fora da base (LC 214, art. 4º — TRU 68002 excluído). Locação efetiva m=0,30 = cota superior (o redutor social do art. 260 e a separação do art. 251 exigem DIRPF). Banda m=0 (art. 251) declarada;tests/test_pof.py::test_golden_aluguel_estimado_mensal
CBS: Módulo 17.3 — Imposto Seletivo na base da CBS (CBS incidente sobre o IS embutido nos preços);LC 214/2025, IS integra a base de cálculo da CBS;n/d;metodologia TCU, Ap. XVII, submódulo 17.3 (p. 69 e ss.);fronteira_administrativa;n/d — o IS entra no AFERIR apenas como dedução do alvo (proxy iso-carga). O efeito é de 2ª ordem e as alíquotas do IS aguardam lei ordinária;n/d
CBS: Módulo 17 — submódulos residuais com expressão no consumo final (17.2 bets, 17.7 planos de saúde, 17.8 tratores/máquinas/caminhões, 17.9 automóveis PcD/táxi, 17.10 PROUNI);LC 214/2025, arts. 244-248, 234, 110, 149 e 308;aferir.gaps (matriz: jogos/apostas, planos de saúde, veículos adaptados, educação superior m_i = 0,40);metodologia TCU, Ap. XVII (pp. 69-78);aproximado;enquadramento item a item na matriz POF, com flag B (cota superior) onde a alíquota setorial depende de dado administrativo;tests/test_pof.py::test_join_matriz_v5_cobre_99pct_da_despesa
CBS: Módulo 17 — submódulos residuais de ajuste por contribuinte (17.1 SAF, 17.4 ZPE, 17.5 imunes e isentas, 17.6 cooperativas);LC 214/2025, arts. 294, 99-104 e 272 (Reg. IBS, arts. 421-429 para SAF);n/d;metodologia TCU, Ap. XVII (pp. 69-78);fronteira_administrativa;n/d — ajustes por ECF/EFD contribuinte a contribuinte, sem expressão isolável na despesa POF;n/d
CBS/IBS: valor de referência da compensação aos fundos constitucionais do art. 159 da CF;LC 214/2025, arts. 477 (caput c/c §1º, I) e 478, §3º, c/c Res. TCU 388/2026 (ementa e considerandos);n/d (fora do escopo — compensação federal ex-post);data/raw/normas/tcu/_meta.json (Res. 388: BTCU ano 9, n. 100, 11/06/2026);fronteira_administrativa;n/d;n/d
IBS: art. 598, caput e §§1º-11 — governança do cálculo (proposta CGIBS ao TCU até 31/07, homologação em 180 dias, fixação pelo Senado, harmonização RFB/CGIBS, sigilo do art. 198 do CTN);Reg. IBS (Res. CGIBS 6/2026), art. 598 (LC 214, art. 349);n/d (etapa institucional do ciclo oficial);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, pp. 192-193;fronteira_administrativa;n/d — o AFERIR produz o número indicativo ex-ante que esse ciclo institucional fixará;n/d
IBS: art. 598, §12 — arredondamento das alíquotas fixadas ao décimo de ponto percentual;Reg. IBS, art. 598, §12 (LC 214, art. 349, §14);aferir.pipeline/aferir.tables (alíquotas reportadas sem arredondamento);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, p. 193;aproximado;reporte em precisão cheia (auditabilidade da ordem de grandeza) — o arredondamento do §12 é ato de fixação, aplicável ex-post ao número indicativo;n/d
IBS: art. 599, I, 'a', c/c §1º — receita de referência estadual (ICMS incluindo Simples, adicional do ADCT art. 82 e multas/dívida ativa);Reg. IBS, art. 599 (LC 214, art. 350, II, 'a', c/c §1º);aferir.inputs.siconfi_estadual + aferir.revenue.alvo_estadual_uf;data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, pp. 193-194. Identidade RREO ≡ DCA medida em 54/54 UF-ano (rubrica bruta, já inclui FECP, antes de cota-parte e FUNDEB);replicado;n/d;tests/test_inputs_nucleo.py::test_r_estadual_estrutura_e_triangulacao
IBS: art. 599, I, 'b', c/c §§2º-7º — contribuições a fundos estaduais condicionadas a benefício de ICMS (média 2021-2023 corrigida pela variação do ICMS, metodologia do CGIBS homologada pelo TCU e publicação por ente com contestação);Reg. IBS, art. 599 (LC 214, art. 350, II, 'b', e §2º), c/c Res. TCU 388/2026, art. 2º, parágrafo único, I (redação da Res. 389/2026);aferir.inputs.siconfi_estadual (fundos);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, pp. 193-194;aproximado;total nacional R$ 3,5 bi (NT SERT jul/2024, p. 4) alocado por UF proporcionalmente ao ICMS médio 2021-2023 (DCA) e corrigido pela variação do ICMS da UF (art. 350, §2º, II). Valores por ente ainda não publicados pelo CGIBS — a publicação do art. 599, §5º, substituirá a convenção;tests/test_inputs_nucleo.py::test_fundos_estaduais
IBS: art. 599, II, c/c §1º — receita de referência municipal (ISS dos Municípios e do DF);Reg. IBS, art. 599 (LC 214, art. 350, III);aferir.inputs (painel DCA municipal, universo 5.570 + RREO-DF) + aferir.revenue.alvo_municipal_uf;data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, pp. 193-194. Conta 1.1.1.4.51.1.0 consolida multas/dívida ativa. Alíquota do DF = soma E+M (art. 598, §1º);replicado;n/d;tests/test_siconfi_municipal.py::test_universo_5570
IBS: art. 600, I — discriminação da receita por nível de alíquota (padrão, redução de 60%, redução de 30%);Reg. IBS, art. 600 (LC 214, art. 351);aferir.gaps (matriz — decomposição ex-ante por m_i);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, pp. 194-195;aproximado;a discriminação oficial usará receita observada de IBS por categoria (a partir de 2027) — o AFERIR antecipa a decomposição pela matriz POF item a item;tests/test_pof.py::test_join_matriz_v5_cobre_99pct_da_despesa
IBS: art. 600, II, c/c §4º, I — regimes específicos deduzidos previamente da receita de referência (combustíveis arts. 259-268, serviços financeiros à alíquota uniforme nacional art. 479, SAF arts. 421-429);Reg. IBS, art. 600, §4º, I (LC 214, art. 351);aferir.revenue (expurgo simétrico do ad rem de combustíveis) + aferir.gaps (matriz — financeiro/SAF);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, p. 195;aproximado;combustíveis: dedução replicada em espírito — ad rem (ANP × CONFAZ) sai do alvo e da base. Financeiro: permanece na base à cota superior m=1,00 (alíquota uniforme nacional é administrativa). SAF: sem expressão na despesa POF;tests/test_inputs_nucleo.py::test_combustiveis_uf
IBS: art. 600, III, c/c §4º, II — Simples Nacional (discriminação por faixa e dedução prévia da receita de referência);Reg. IBS, art. 600 (LC 214, art. 351, e LC 123/2006);aferir.revenue + aferir.gaps (matriz);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, pp. 194-195;aproximado;perímetro simétrico declarado: o AFERIR mantém o Simples no alvo (art. 599, §1º, I) e no consumo B, enquanto o oficial o deduz dos dois lados antes do cálculo da alíquota-padrão;n/d
IBS: art. 600, IV, c/c art. 439 — receita das aquisições públicas integralmente destinada ao ente adquirente;Reg. IBS, arts. 600, IV, e 439 (LC 214, arts. 471-473);aferir.govpurchases + aferir.rates (σ·G_s somado ao ente comprador);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, p. 194;aproximado;G_s = naturezas de despesa 3.3.90.30/36/39 empenhadas (folha fora do campo, art. 4º). Municípios por amostra capitais + top-200 extrapolada, distribuída por população (corredor S1/S2);tests/test_gov_aquisicoes.py::test_ordem_de_grandeza
IBS: art. 600, V, 'b', c/c §5º e art. 500 — devolução geral a pessoas físicas (cashback) somada de volta à receita antes do cálculo;Reg. IBS, arts. 600, V, 'b', e 500 (LC 214, arts. 112-120, art. 118: IBS 20% uniforme);aferir.cashback (dedução de base por esfera — IBS 20% uniforme nos incisos I e II do art. 118);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, pp. 194-195;aproximado;devolução tratada como dedução de base em forma fechada (proporcional ao imposto pago pelos elegíveis) em vez de recomposição da receita por categoria;tests/test_rates.py::test_cashback_assimetrico_por_esfera
IBS: art. 600, V, 'a', VI e VII — créditos presumidos, anulações/estornos de crédito e outros fatores discriminados por categoria;Reg. IBS, art. 600 (LC 214, art. 351);n/d (exceto ZFM: zfm = 0,13 no AM);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, pp. 194-195;fronteira_administrativa;n/d — exigem apuração assistida por documento fiscal (art. 600, §3º);n/d
IBS: art. 601 — estimativa contrafactual: receita de IBS caso a alíquota de referência e a legislação do ano de vigência fossem aplicadas no ano-base (§§2º-3º: base por referência à CBS/IBS observada, ad rem corrigido por preços);Reg. IBS, art. 601 (LC 214, art. 360);aferir.pipeline.executa + aferir.rates (inversão iso-receita: τ·D + σ·G = Alvo);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, pp. 195-196;aproximado;base estimada por agregados abertos (TRU 2021 + POF 2017-18 escaladas ao biênio) — rota facultada pelo art. 352, §3º, II, da LC 214 — em lugar das bases CBS/IBS observadas dos §§2º-3º (administrativas e inexistentes ex-ante);tests/test_rates.py::test_vetor_indicativo_consistente_com_nacional
IBS: arts. 602-605 — fixação faseada 2029-2032 (equivalência % PIB com receitas de referência ajustadas pelas reduções de 10/20/30/40% e prioridade da base CBS observada em 2027-2028);Reg. IBS, arts. 602-605 (LC 214, arts. 361-364);n/d (fora do escopo — o AFERIR estima o ponto de chegada 2033);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, pp. 195-198;fronteira_administrativa;n/d — exigem receita observada de CBS/IBS nos anos-base 2027-2031;n/d
IBS: art. 606 — alíquotas de referência de 2033 (média % PIB da receita estimada nos anos-base 2030-2031 = média 2024-2026 da receita de referência sobre o PIB);Reg. IBS, art. 606 (LC 214, art. 365);aferir.pipeline + aferir.revenue (âncora subnacional na janela);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, pp. 198-199;aproximado;janela 2024-2025 como proxy da média 2024-2026 (2026 indisponível em jul/2026 — declarado). A equivalência % PIB pressupõe participação estável da base no PIB (hipótese nomeada, item E4);tests/test_inputs_nucleo.py::test_paridade_v1_icms_janela
IBS: art. 607 — alíquotas de referência de 2034 e 2035 iguais às de 2033;Reg. IBS, art. 607 (LC 214, art. 366);aferir.pipeline (2033 como ponto de chegada);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, p. 199;replicado;n/d — dispositivo sem etapa de cálculo própria;n/d
IBS: arts. 608-609 — Teto de Referência Total (média 2012-2021, % PIB, de IPI+ICMS+ISS+Cofins+PIS+IOF-Seguros) e redução das alíquotas de referência em 2035 se a Receita-Base Total 2029-2033 exceder o Teto;Reg. IBS, arts. 608-609 (LC 214, arts. 367 e 369);n/d (mecanismo ex-post de 2035 — distinto do gatilho de 26,5% do art. 475, §§10-11, modelado em aferir.trava);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, pp. 199-200;fronteira_administrativa;n/d — a Receita-Base 2029-2033 exige arrecadação observada de CBS/IBS. O Teto (2012-2021, % PIB) é computável de dados abertos — extensão possível, lacuna registrada;n/d
IBS: art. 610 — redutor das alíquotas do IBS nas compras públicas 2027-2033 (§4º: para 2033, equivalência CBS+IBS sobre anos-base 2024-2026);Reg. IBS, art. 610 (LC 214, art. 370);aferir.govpurchases.sigma_iso_carga + aferir.rates (modos iso_carga/sem_redutor/redutor_total);data/raw/normas/cgibs/res_cgibs_6_2026_regulamento_ibs.pdf, p. 200;aproximado;σ̂ iso-carga = 8,234% (carga embutida TRU, mix do CI das atividades 8400/8591/8691) sobre a janela 2024-2025 — cota inferior do conceito por operação. Os modos cobrem r ∈ [0, 1];tests/test_rates.py::test_iso_carga_desacopla
Etapa conexa: gatilho de 26,5% para a soma das alíquotas de referência estimadas para 2033 e PLP de revisão dos regimes;LC 214/2025, art. 475, §§10-11 (etapa oficial conexa, não regulamentada nos arts. 598-609);aferir.trava (λ* por bisseção — encolhimento uniforme dos favorecimentos que recoloca Σ τ_s em 26,5%);src/aferir/trava.py (docstring com a derivação e as identidades testadas);aproximado;encolhimento UNIFORME m_i(λ) = m_i + λ·(1−m_i), zfm(λ) = zfm·(1−λ), cashback recomputado — o PLP do §11 pode escolher composição diferente de cortes;tests/test_trava.py::test_soma_no_gatilho
